ebs_domain,(Multiple Items),,,,,,,,,,,
guild,Pelagic foragers,,,,,,,,,,,
,,,,,,,,,,,,
Sum of tot_bio_tons,Column Labels,,,,,,,,,,,
Row Labels,Atka mackerel,Capelin,Eulachon,Herring,Misc. fish shallow,Oth. managed forage,Oth. pelagic smelt,Salmon returning,Sandlance,Scyphozoid Jellies,W. Pollock,Grand Total
1982,5044.051259,884559.3726,178437.031,22308.83108,191641.3342,232266.2479,65343.6124,42187.30408,2669911.089,25811.8011,5211088.64,9528599.315
1983,56667.64477,691040.4261,173499.8602,698669.9174,226462.6214,60191.0052,31363.90931,38684.25734,754299.7978,47786.32513,10863049.61,13641715.38
1984,71293.38657,909799.3838,371349.5721,153312.4844,132445.7079,79550.0271,14708.66679,66442.89508,1524577.192,69291.93776,8309004.408,11701775.66
1985,13165.78235,566907.9999,49170.22467,310521.5346,89723.00331,118387.5638,14159.83717,15648.65275,398729.4722,60308.95408,8323081.065,9959804.09
1986,29725.83613,2289350.097,141377.3018,74050.16545,93876.72933,30535.88181,,35208.11931,967048.8047,63826.7749,8746165.728,12471165.44
1987,,317987.8384,91453.6852,72335.73165,171423.8275,51172.86378,1218.760451,22437.40208,1279474.017,82992.40448,9389363.932,11479860.46
1988,40221.92974,911989.2155,81310.77361,1387399.123,299666.0884,102577.3619,168022.9508,31724.54215,1640001.256,53306.74559,12761655.56,17477875.55
1989,7603.170379,193669.0892,58930.94213,68082.7917,251705.3991,373022.9129,,,2139124.267,52202.49599,10838878.73,13983219.8
1990,51931.69704,1466735.18,104403.9745,32986.47708,420905.5962,524110.6382,29577.46341,,1380708.142,86903.63159,13035744.14,17134006.95
1991,54966.39307,572749.1548,307028.4677,306474.3388,523997.0857,519410.9252,255112.9152,79566.74134,1272605.435,153801.9586,9102409.688,13148123.1
1992,40197.59586,1804150.898,145279.7631,84558.03337,332644.9127,1305639.023,41152.42654,36041.10191,1677177.871,235545.2472,7863854.909,13566241.78
1993,6804.537341,7817603.716,116586.4842,1323661.941,355132.6647,2408943.409,22952.34243,20454.13285,2784407.946,277552.5536,9515415.028,24649514.76
1994,20745.77325,506630.882,245209.3243,322607.4475,319276.1087,360685.2182,13755.6172,241975.6388,3931699.355,370875.7212,9084297.246,15417758.33
1995,97937.74949,949450.2186,234102.1328,500789.8707,208539.8036,71369.53366,15671.45624,21629.73682,5313598.571,264480.3115,9910855.902,17588425.29
1996,,121914.7914,184966.5196,223273.7252,197563.8207,108028.6287,82233.74959,444837.481,1833992.363,333813.0982,5288653.251,8819277.429
1997,82127.42399,506054.8365,341318.2018,330951.021,299722.975,97069.94371,68584.90703,,6610613.783,453737.3396,5283498.668,14073679.1
1998,35928.84375,136546.7795,215055.7842,137251.0228,200712.8354,630807.743,65218.33812,188745.8188,1675418.144,317138.7139,3862103.479,7464927.503
1999,83107.83041,574374.5244,90356.827,211256.2834,134173.8407,50624.45789,616.1693454,72259.49721,266543.9566,410803.9088,6620228.895,8514346.191
2000,4637.204048,727062.2783,211649.968,292729.6505,132495.8099,29459.0857,928.4653672,57514.40407,267221.6508,763913.1721,9076975.841,11564587.53
2001,37906.54502,468503.8521,194314.8441,453097.8806,172633.1654,375625.811,908.0390353,52707.61092,145085.9595,193595.2963,7598366.245,9692745.249
2002,218532.0967,410912.2862,220003.7478,112250.0492,218072.8174,538415.258,,20579.26312,658328.5124,139868.8631,8702366.253,11239329.15
2003,38469.7474,909616.7282,115777.3747,454213.2398,214951.1346,2928385.961,369.371811,17797.1915,133713.7907,121862.6898,14863854.4,19799011.63
2004,263009.4302,1866372.226,143391.6985,810297.0519,240178.4909,771081.545,98287.53032,400342.0869,269556.3531,148032.7004,6824452.521,11835001.63
2005,522560.706,193786.9367,79404.72291,1073102.379,275598.4682,1137038.486,,100904.5271,333108.7829,153280.2394,8541374.541,12410159.79
2006,160867.3495,856926.6661,93344.21578,212167.0036,233637.4359,135261.4048,38.45430462,171127.2162,443874.8403,83752.73075,5165471.381,7556468.699
2007,125208.7933,149299.8863,189117.8331,255934.162,222378.9756,75443.72646,27319.3525,22214.30813,274992.0555,112964.7219,7540027.835,8994901.649
2008,70980.74124,566483.5146,18868.34796,749297.8485,227125.8832,424979.7527,1604.998821,13546.92311,332019.8554,104949.016,5184268.96,7694125.842
2009,109317.7923,634715.6727,50922.14275,22417.9766,177841.976,214626.4236,203.5259907,172875.9168,157962.7842,361592.2465,4080747.198,5983223.656
2010,269406.9002,1757455.841,225773.5788,312969.6347,322069.5659,43815.1361,207.439952,64550.99253,1129670.97,377707.5512,6502927.304,11006554.92
2011,16556.96871,2168417.543,236996.7458,147001.158,227027.9655,16014.43248,430.5357495,267840.9447,382999.9832,680375.3789,5304390.959,9448052.616
2012,237598.6547,2764815.392,43943.86796,713983.0779,242435.7441,76831.21443,254.4074883,27409.73957,474867.9735,543765.1467,5963618.669,11089523.89
2013,19436.37311,3141314.928,54484.81227,685014.0219,211887.7285,23841.88234,,27018.00376,1533870.056,426276.4423,7903430.773,14026575.02
2014,204664.87,1668031.693,235771.7493,35378.59803,248785.8568,45121.76101,158644.307,89874.97428,747623.5763,395101.5644,12018355.82,15847354.77
2015,1298735.936,2548658.888,75707.01563,191883.5416,235120.6431,5703.123881,33203.41618,59538.89995,1904168.177,331669.2777,10897403.16,17581792.07
2016,29746.05122,707739.8225,79015.37769,94898.8014,187043.7855,40288.75661,28860.82417,555569.3452,752869.3157,66093.69179,8620008.855,11162134.63
2017,447706.8442,278102.1348,25919.73844,499265.4583,135848.1741,28548.22043,86805.02062,166397.5132,173393.4566,77223.54348,8616957.54,10536167.64
2018,3693133.732,24646.17181,28948.08223,920440.4977,113889.6373,26652.81539,9100.32245,70479.05895,101508.0722,244731.772,5544854.772,10778384.93
2019,18346.58803,39382.04613,86138.44891,704047.6011,111016.8946,82085.61148,11149.744,404684.9636,57640.67351,546392.2893,9150316.834,11211201.69
Grand Total,8484292.968,43103758.91,5539331.182,15000880.37,8599654.507,14143613.79,1348008.878,4120817.205,48394408.3,9233328.257,312109518.7,470077613.1
